Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,716 ORYONG,2024-12-22T13:00:00Z,2024-12-22T14:00:00Z,DRIFTING_LONGLINES,FISHING,440934000,8717879,DTAC3,2012-07-17T17:57:38Z,2025-07-18T23:59:57Z,0.46
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,MAAN YU FENG 368,2024-11-17T11:00:00Z,2025-06-27T10:00:00Z,DRIFTING_LONGLINES,FISHING,416003703,,BG3805,2024-10-21T20:42:17Z,2025-07-18T23:54:57Z,888.86
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,JIN MAN FU NO10,2024-07-13T20:00:00Z,2024-09-12T18:00:00Z,DRIFTING_LONGLINES,FISHING,416004375,,BJ5091,2024-06-12T09:04:10Z,2025-07-18T22:19:12Z,1070.29
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,CHIN YOU WEN,2024-08-26T15:00:00Z,2024-08-26T15:00:00Z,DRIFTING_LONGLINES,FISHING,416122800,,,2013-07-08T07:18:13Z,2024-09-05T02:42:30Z,0.29
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,MAAN YU FENG 3,2024-07-25T17:00:00Z,2024-08-06T07:00:00Z,DRIFTING_LONGLINES,FISHING,416003009,,BJ5009,2024-03-27T23:34:38Z,2024-10-26T22:02:06Z,144.23
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,YUAN LONG,2024-07-19T16:00:00Z,2024-07-22T04:00:00Z,DRIFTING_LONGLINES,FISHING,416009187,,BH3555,2022-12-15T01:09:27Z,2025-07-18T23:59:38Z,8.73
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,,2025-03-09T21:00:00Z,2025-04-16T23:00:00Z,DRIFTING_LONGLINES,FISHING,416227800,,BG3871,2024-09-03T03:45:59Z,2025-07-07T00:42:30Z,657.37
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,JIA YU FA,2025-02-26T19:00:00Z,2025-04-15T15:00:00Z,DRIFTING_LONGLINES,FISHING,416000212,,BJ4606,2015-03-27T06:18:10Z,2025-07-18T23:57:53Z,724.81
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,YU  FU,2024-10-08T08:00:00Z,2025-05-22T17:00:00Z,DRIFTING_LONGLINES,FISHING,416000986,,BJ-4657,2014-12-21T10:20:37Z,2025-07-18T23:59:01Z,2659.13
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,YAIZU,2024-10-12T02:00:00Z,2024-10-12T23:00:00Z,FISHING,FISHING,432706000,9524877,7JEW,2012-01-25T11:25:27Z,2025-07-03T23:19:21Z,1.72
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,INARIMARU NO.85,2024-11-10T22:00:00Z,2025-01-31T04:00:00Z,POLE_AND_LINE,FISHING,432507000,9326263,7JAN,2016-05-25T00:36:58Z,2025-07-18T23:59:59Z,376.16
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,HUNG WEN NO.322,2025-02-06T01:00:00Z,2025-02-12T18:00:00Z,DRIFTING_LONGLINES,FISHING,416005836,,BH3518,2021-06-30T07:01:16Z,2025-07-18T23:59:45Z,74.24
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,DONG SHENG JYI NO 16,2025-02-28T23:00:00Z,2025-05-01T02:00:00Z,DRIFTING_LONGLINES,FISHING,416002096,,BJ3945,2014-06-25T11:42:04Z,2025-07-18T23:59:18Z,1286.69
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,YI RONG NO268,2025-06-04T23:00:00Z,2025-06-06T04:00:00Z,DRIFTING_LONGLINES,FISHING,416008922,,,2022-06-07T01:31:18Z,2025-07-18T23:58:30Z,5.63
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,LI CHENG NO.28,2024-07-01T00:00:00Z,2024-09-02T15:00:00Z,SET_LONGLINES,FISHING,416127500,,BJ4581,2016-09-05T04:19:39Z,2025-03-19T07:28:47Z,969.75
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",KOR,315 O RYONG,2025-06-07T11:00:00Z,2025-06-07T11:00:00Z,DRIFTING_LONGLINES,FISHING,440731000,8714188,DTDZ,2012-01-01T01:28:33Z,2025-07-16T00:06:04Z,0.56
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,LIEN YU CHUN 23,2025-01-22T14:00:00Z,2025-05-18T16:00:00Z,DRIFTING_LONGLINES,FISHING,416002946,,BJ4888,2015-12-30T11:43:53Z,2025-06-04T04:40:52Z,1097.88
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,MIAMARU NO.78,2024-07-19T11:00:00Z,2024-07-22T15:00:00Z,DRIFTING_LONGLINES,FISHING,431005871,,,2016-04-14T05:11:50Z,2025-06-19T00:31:44Z,74.19
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,SHENG I TSAI NO888,2025-01-04T19:00:00Z,2025-05-26T14:00:00Z,DRIFTING_LONGLINES,FISHING,416230500,,BJ4963,2022-01-25T16:19:34Z,2025-07-18T23:51:41Z,2400.05
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,MAAN YU FENG 3,2025-01-12T20:00:00Z,2025-03-11T02:00:00Z,DRIFTING_LONGLINES,FISHING,416003009,,BG4053,2024-10-30T06:19:34Z,2025-07-18T17:40:08Z,1141.74
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,KYOYOMARU NO.3,2025-01-17T18:00:00Z,2025-03-30T23:00:00Z,POLE_AND_LINE,FISHING,431487000,9194945,JDYU,2022-01-16T23:38:15Z,2025-07-18T23:58:47Z,145.35
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,HANEIMARU NO.36,2025-04-24T23:00:00Z,2025-06-23T17:00:00Z,DRIFTING_LONGLINES,FISHING,431005009,,,2015-10-15T22:34:07Z,2025-07-18T03:58:09Z,361.14
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,IROHAMARU  NO.71,2024-07-09T20:00:00Z,2024-07-27T12:00:00Z,DRIFTING_LONGLINES,FISHING,431200503,,,2021-10-11T01:59:28Z,2025-07-15T00:08:25Z,264.52
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",CHN,XIN SHI JI 36,2024-07-25T15:00:00Z,2024-07-25T15:00:00Z,DRIFTING_LONGLINES,FISHING,412674190,9971161,BZUU2,2022-05-06T03:21:18Z,2024-11-11T01:21:16Z,0.65
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,CHARNG FU HUNG NO116,2025-01-29T23:00:00Z,2025-04-05T23:00:00Z,DRIFTING_LONGLINES,FISHING,416009283,,BH3554,2023-06-27T08:42:05Z,2025-07-18T23:59:32Z,9.29
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,ZHEN FENG NO.2,2024-08-19T01:00:00Z,2024-08-25T14:00:00Z,DRIFTING_LONGLINES,FISHING,416003869,,BJ4527,2016-04-27T18:54:13Z,2024-09-12T03:43:56Z,138.78
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,YI TIAN,2025-03-20T06:00:00Z,2025-03-20T09:00:00Z,DRIFTING_LONGLINES,FISHING,416142600,,BH3368,2025-02-24T02:26:33Z,2025-07-18T23:59:21Z,2.04
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,CHIRYUMARU NO.3,2025-06-19T23:00:00Z,2025-06-24T16:00:00Z,DRIFTING_LONGLINES,FISHING,431600260,,,2022-10-27T00:24:51Z,2025-07-18T01:45:46Z,41.67
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,JIN HUNG HSIAANG,2024-07-01T00:00:00Z,2024-07-31T17:00:00Z,DRIFTING_LONGLINES,FISHING,416002446,,BJ4795,2021-09-14T05:56:50Z,2025-07-18T23:52:01Z,682.55
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",JPN,SHICHIHUKUJIN MARU,2024-07-02T19:00:00Z,2024-07-15T10:00:00Z,DRIFTING_LONGLINES,FISHING,431603270,,,2019-12-20T10:30:25Z,2025-07-18T21:33:34Z,83.91
"2024-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z",TWN,CHI FA NO.1888,2025-01-27T21:00:00Z,2025-02-01T16:00:00Z,DRIFTING_LONGLINES,FISHING,416005715,,BH3495,2021-10-01T07:57:38Z,2025-06-09T07:00:19Z,47.34
